,Tweet,Label,Panjang_tweet,Jumlah_kalimat
0,trs barusan dia reach out aku trs minta tolong buat bantu project dia yaallaah aaaa jujur agak takut pressure tp ok gapapa,Fear,122,22
1,"sumpah ini receh bgt dan not bts related. cm jujur w magang padet bgt dikasih project mayan banyak. trs kemaren ada senior gd presentasi gt dan keeren2 bgt nangis parah. trs aku pengen chat blio pengen tanya2. minta nomornya ke hrd, dapet, tp mau chat gajadi soalnya takut",Fear,272,48
2,ragu utk bisa beli barang tu karn harganya bisa buat cicilan bulanan,Fear,68,12
3,bisa gak sih langsung tanggal 11 aja gausah ada tanggal 10 gua takut banget mana 2 hari lagi,Fear,92,18
4,iya kaan yg lain suka pada coba pd gpp tp tetep takut wkwk,Fear,58,13
5,eh sumpah gw takut bangett. serem bangett itu orang,Fear,51,9
6,"namnjim lag like like nya ngeri bgt, anak buah imam jumbo emg sama aja semuanya",Fear,79,15
7,ogeb bat dah pake sok sok an kaget,Fear,34,8
8,"plis nilai akm keluarnya lama banget, takut",Fear,43,7
9,"mau ikut esd aja telat, trus takut flop",Fear,39,8
10,emm hampir setiap waktu gitu sampe panik?,Fear,41,7
11,jadi malu saya,Fear,14,3
12,sinb kamu tiati mukanya yak takut krna evil edit,Fear,48,9
13,buset ngeri bgt,Fear,15,3
14,"nah kan, sudah pasti ada alasan kuat, mengapa direksi sebelumya mengundurkan diri. belum apa apa udah jadi bumper. ngeri ngeri sedap.",Fear,133,21
15,pas bangun langsung kaget..,Fear,27,4
16,men's team grup b ngeri kali,Fear,28,6
17,but again aku ga registrasi beneran cuma stop di situ aja soalnya takut kualat kan udh dibilangin yg gap registrasinya tgl 14 hehe dah gitu aja,Fear,143,26
18,"anak cewe sendirii, takut kenapa napaa kali. sy pun tak tahu",Fear,60,11
19,udah nyoba dari pagi-siang-sore-malem sampe jam 1/2/3/4 subuh juga kagak bisa trs aku panik dong,Fear,96,15
20,"ntu ada kecoak, jijel takut",Fear,27,5
21,thanks udh speak up bang. gua ngeri akun lu tiba2 kena petrus :(,Fear,64,13
22,"halo kak paket saya masih belum ada update dari tanggal 29 januari sampai sekarang dan belum sampai juga, bagaimana ya kak? saya khawatir jika paket saya hilang soalnya saya banyak lihat kasus paket hilang di twitter, mohon bantu follow up ya kak,saya sudah 12 hari menunggu paket",Fear,280,47
23,betuul sm takut balesannya,Fear,26,4
24,tadi pagi kelock yank.. dahlah meskipun udah unlock tetep takut banget jadinya move sekarang aja,Fear,96,15
25,ngeri yaampun,Fear,13,2
26,weh takut limit,Fear,15,3
27,"hari ini gk dl,ngeri",Fear,20,4
28,"klarifikasi di ig nya mz katanya ke resto sblm tau kl positif, itu lg nunggu hasil. pdhl kan bisa nunggu di mobil trs kl mau makan ya tinggal drive thru, gue nunggu hasil pcr aja ga kemana2, ngeri kl hasilnya positif bakal nularin, lah dia malah santai aja anjir",Fear,262,49
29,"namun, untukku itu hal tabu dan ga baik untuk di lakukan, apalagi dada itu aurat nya cewek, hal sensitif nya cewek, meskipun masih kecil itu ga bisa di lakukan. kalo dilakukan terus menerus lama2 jadi biasa bagi yang melakukan, dan bakal di bawa sampek dewasa sumpah itu ngeri.",Fear,277,48
30,"iya, aku biasanya di tengah-tengah krn takut ada kendala gitu. eh kena hnr",Fear,74,13
31,"menyendiri dulu dehh,, mabok dulu biar ga panik",Fear,47,8
32,"kucing kota, panik dia dikejer",Fear,30,5
33,takut la case naik ni erm,Fear,25,6
34,kenapa nak hasut orang tak vaksin? pastu bangga sangat bila orang vaksin takut nak cerita side effect kat dia.,Fear,110,19
35,takut ya.,Fear,9,2
36,ngeri mba:(,Fear,11,2
37,kok suaranya aneh dan bikin merinding ya,Fear,40,7
38,"berkali kali ada debt colector ke rumah, nanya nama yg aku sendiri ga kenal huhu, takut",Fear,87,16
39,kyk kalo emg ga ada bs ga sih jgn accept orderan akuu. kan jdnya ngasih harapan palsu. aku gamau kacang ijoo maunya tausaa,Fear,122,23
40,lagi stuck nih.. gatau sampe kapan nih ceritaku. takut ngga bisa ngelanjutin ada yang pernah diposisi ini ngga guys? dan apa yg kalian lakuin biar survive lagi?,Fear,160,27
41,cuman kaget tok,Fear,15,3
42,"andin aja bawa kesini,hazel masih bayi takut flu",Fear,48,8
43,takut banget loh,Fear,16,3
44,nyontek pas ujian seni musik. ya allah percayalah di sekolah gue semua anak lebih takut remidi musik ketimbang pelajaran eksakta lainnya soalnya susah dan males bgt gurunya paling killer seantero sekolah-,Fear,204,31
45,anjg kaget gue..,Fear,16,3
46,"dua hari yang lalu gue dibeliin kopi, nah gue kan gaberani minum soalnya masih pagi takut asam lambung gue kambuh soalnya mau ada kegiatan kan. terus baru sempet minum kopinya barusan dan anjirr perasaan gue ga enak soalnya udah ngerasa agak dredeg dikit",Fear,254,43
47,proyek dibalik kepanikan..atau panik dibalik keproyekan,Fear,55,6
48,ngeri editannya,Fear,15,2
49,jangan panik jangan panik,Fear,25,4
50,serius? takut salah info,Fear,24,4
51,iya kann aku aja sampai kaget katanya mereka juga udh pada tau klo mirip,Fear,72,14
52,siap huaa takut loh aku,Fear,23,5
53,"aah i baru baca data. dah terbiasa tengok kes tinggi je, jadi takut",Fear,67,13
54,"dikepung, dikejar2, ditangkapi, ditakut-takut i.",Fear,48,5
55,takut..,Fear,7,1
56,kenapa pas gue kirim pas banget dibaca dari bawah anjengg malu bgt untung ga dikasih liat nama pengirim nya siapa,Fear,113,20
57,pengen blink selca day tp malu.,Fear,31,6
58,"bener kaya, mau tinggal sama salah satu orang tua pasti sering makan hati. tapi kalo tinggal sendiri takut gabisa ngurus rumah apalagi diri sendiri. so one thing we have to do is survive",Fear,186,33
59,"mau balik kampus nemuin kajur badan malah lemes gaenak badan jadi takut mau ke kampus lagi, moga aja ga kenapa"" aku",Fear,115,21
60,kaget akun gua ke log out sndri,Fear,31,7
61,ngeri amat wkwk,Fear,15,3
62,ihh kaget tiba2 ada comback lagii ihh ya ampun sampe hiatus,Fear,59,11
